index	original_representative	transpose_word	original_tableau	transpose_tableau
135	1111223243323444	1234121312344234	[[1,2,3,4],[5,6,8,12],[7,10,11,13],[9,14,15,16]]	[[1,5,7,9],[2,6,10,14],[3,8,11,15],[4,12,13,16]]
136	1111223243324344	1234121312342434	[[1,2,3,4],[5,6,8,12],[7,10,11,14],[9,13,15,16]]	[[1,5,7,9],[2,6,10,13],[3,8,11,15],[4,12,14,16]]
137	1111223243342344	1234121312324434	[[1,2,3,4],[5,6,8,13],[7,10,11,14],[9,12,15,16]]	[[1,5,7,9],[2,6,10,12],[3,8,11,15],[4,13,14,16]]
138	1111223243342434	1234121312324344	[[1,2,3,4],[5,6,8,13],[7,10,11,15],[9,12,14,16]]	[[1,5,7,9],[2,6,10,12],[3,8,11,14],[4,13,15,16]]
139	1111223243344234	1234121312323444	[[1,2,3,4],[5,6,8,14],[7,10,11,15],[9,12,13,16]]	[[1,5,7,9],[2,6,10,12],[3,8,11,13],[4,14,15,16]]
140	1111223243423344	1234121312243434	[[1,2,3,4],[5,6,8,12],[7,10,13,14],[9,11,15,16]]	[[1,5,7,9],[2,6,10,11],[3,8,13,15],[4,12,14,16]]
141	1111223243423434	1234121312243344	[[1,2,3,4],[5,6,8,12],[7,10,13,15],[9,11,14,16]]	[[1,5,7,9],[2,6,10,11],[3,8,13,14],[4,12,15,16]]
142	1111223243432344	1234121312234434	[[1,2,3,4],[5,6,8,13],[7,10,12,14],[9,11,15,16]]	[[1,5,7,9],[2,6,10,11],[3,8,12,15],[4,13,14,16]]
143	1111223243432434	1234121312234344	[[1,2,3,4],[5,6,8,13],[7,10,12,15],[9,11,14,16]]	[[1,5,7,9],[2,6,10,11],[3,8,12,14],[4,13,15,16]]
144	1111223243434234	1234121312233444	[[1,2,3,4],[5,6,8,14],[7,10,12,15],[9,11,13,16]]	[[1,5,7,9],[2,6,10,11],[3,8,12,13],[4,14,15,16]]
145	1111223322343444	1234121234314234	[[1,2,3,4],[5,6,9,10],[7,8,11,13],[12,14,15,16]]	[[1,5,7,12],[2,6,8,14],[3,9,11,15],[4,10,13,16]]
146	1111223322344344	1234121234312434	[[1,2,3,4],[5,6,9,10],[7,8,11,14],[12,13,15,16]]	[[1,5,7,12],[2,6,8,13],[3,9,11,15],[4,10,14,16]]
147	1111223322344434	1234121234312344	[[1,2,3,4],[5,6,9,10],[7,8,11,15],[12,13,14,16]]	[[1,5,7,12],[2,6,8,13],[3,9,11,14],[4,10,15,16]]
